Employee ID,Full Name,Resignation Probability,Resignation Prediction
-1.731088824,Kyle Martin,0.000806789,0
-1.729164323,Nicole Young,0.003923503,0
-1.727239822,Ibrahim Ortmann-Boucsein,0.000116621,0
-1.725315321,Lawrence Rahman-Browne,0.002023195,0
-1.723390819,Eric Torres,7.59E-05,0
-1.721466318,Gisela Striebitz,0.997678077,1
-1.719541817,Amanda Solomon,0.032455439,0
-1.717617316,Tammy Smith,3.14E-05,0
-1.715692815,Aziz Hofmann B.Sc.,0.000427308,0
-1.713768314,Mary Cook,0.000246544,0
-1.711843812,Mitchell Byrne-Bond,0.002568928,0
-1.709919311,George Townsend,5.67E-05,0
-1.70799481,Victoria English,0.00010738,0
-1.706070309,Francis Smith-Roberts,0.566372744,1
-1.704145808,Bachittar Dhaliwal,0.019967342,0
-1.702221306,Amanda Lewis,0.993912965,1
-1.700296805,Louise Carter,6.79E-05,0
-1.698372304,Cheryl Hayward,4.89E-05,0
-1.696447803,Charles Allen,0.000194585,0
-1.694523302,Kristin Ochoa,0.997531122,1
-1.6925988,Eshana Gupta,0.000169762,0
-1.690674299,Carly Pearce,0.000142031,0
-1.688749798,Dr Amelia Doyle,0.000620301,0
-1.686825297,Martine Scheibe,0.001454145,0
-1.684900796,Maurice Dunn,0.000608973,0
-1.682976294,Dipl.-Ing. Niels Süßebier,0.000832145,0
-1.681051793,Kabir Gaba,7.70E-05,0
-1.679127292,Olga Wähner-Söding,2.50E-05,0
-1.677202791,Robert Zamora,0.000548284,0
-1.67527829,Stephen Parker,0.000301037,0
-1.673353788,Adya Munshi,0.005026096,0
-1.671429287,Alex Evans,7.85E-05,0
-1.669504786,Ati Datta,0.000109303,0
-1.667580285,Hemal Kale,0.015567975,0
-1.665655784,Mirjana Gierschner,0.000414872,0
-1.663731282,Wayne Arnold,0.000146316,0
-1.661806781,Jane Allen,0.000116626,0
-1.65988228,Susana Warmer,0.998436038,1
-1.657957779,Laura Barber,0.896067397,1
-1.656033278,David Hansen,0.009999339,0
-1.654108776,Burkhard Dowerg-Ullrich,0.817177207,1
-1.652184275,Jay Mendoza,0.267244319,0
-1.650259774,Lee Williamson,0.311651692,0
-1.648335273,Alexandra Scott,0.047656992,0
-1.646410772,Caroline Austin,0.200033462,0
-1.644486271,Ing. Trudi Stoll B.Eng.,9.90E-05,0
-1.642561769,Dr Ronald Davies,0.045960681,0
-1.640637268,Daksha Bains,6.79E-05,0
-1.638712767,Darryl Barnes,5.65E-05,0
-1.636788266,Emily Allen,0.000118119,0
-1.634863765,Michelle Byrne,0.000137213,0
-1.632939263,Dr. Sofie Binner B.Sc.,0.0001945,0
-1.631014762,Matthew Griffin,0.000119374,0
-1.629090261,Maya Aurora,0.000362438,0
-1.62716576,Richard Molina,0.99932129,1
-1.625241259,Alicia Bonbach,0.000117957,0
-1.623316757,Annelore Freudenberger,0.042032606,0
-1.621392256,Jörn Beyer B.Sc.,0.999036232,1
-1.619467755,Stjepan Klemm,6.92E-05,0
-1.617543254,Diane Lewis,0.000273059,0
-1.615618753,Odika Chowdhury,5.61E-05,0
-1.613694251,Justin Clark,0.056962312,0
-1.61176975,Gislinde Etzold,0.002597155,0
-1.609845249,Ekapad Thakkar,0.000186893,0
-1.607920748,Dominic Davies,0.000785298,0
-1.605996247,Ms Carly Andrews,8.37E-05,0
-1.604071745,Nicholas Moore,0.00063497,0
-1.602147244,Univ.Prof. Ingeburg Kensy B.Sc.,6.97E-05,0
-1.600222743,George Kennedy,0.999303573,1
-1.598298242,Isabella Lopez,0.999440455,1
-1.596373741,Jochen Gude-Ditschlerin,0.000679716,0
-1.594449239,Mr. Zachary Poole PhD,0.002197405,0
-1.592524738,Tom Dunn,0.997894616,1
-1.590600237,Viraj Mitra,0.002119394,0
-1.588675736,Ing. Wenke Seidel,0.000114015,0
-1.586751235,Taylor Gregory,0.003919237,0
-1.584826733,Andrea Walker,0.000156319,0
-1.582902232,Vamakshi Sunder,0.000808,0
-1.580977731,Jennifer Johnson,0.000478451,0
-1.57905323,Waldemar Stroh-Mans,0.002726482,0
-1.577128729,Paula Kraus,0.000194789,0
-1.575204228,Catherine Humphreys,0.000381458,0
-1.573279726,Kavya Apte,0.000103848,0
-1.571355225,Lisa Williams,0.000800062,0
-1.569430724,Rosie Jones,0.000689788,0
-1.567506223,Josef Meyer,0.100013421,0
-1.565581722,Amy Crawford,3.49E-05,0
-1.56365722,Prof. Götz Ritter MBA.,0.000327366,0
-1.561732719,Craig Collins,0.000764412,0
-1.559808218,Maurice Smith,0.000168419,0
-1.557883717,Chakrika Shere,0.99886964,1
-1.555959216,Amaira Rattan,0.000975614,0
-1.554034714,Michael Morris,2.17E-05,0
-1.552110213,Adrian Walsh,0.997951917,1
-1.550185712,Daksha Kunda,0.000204769,0
-1.548261211,Lila Seth,0.001429221,0
-1.54633671,Ferdinand Nerger,4.52E-05,0
-1.544412208,Maanas Sarma,0.001363845,0
-1.542487707,Mr. Kenneth Wright DVM,0.069751364,0
-1.540563206,Tracey Miranda,0.000216567,0
-1.538638705,Melvin Copeland,0.997608019,1
-1.536714204,Allison Baker,0.000194959,0
-1.534789702,Varsha Goyal,0.002578824,0
-1.532865201,Hülya Gorlitz,0.003622347,0
-1.5309407,Bettina Davids,3.63E-05,0
-1.529016199,Graham Saunders-Richards,0.000575382,0
-1.527091698,Jackson Ratti,0.000293307,0
-1.525167196,Courtney Sims,0.002207738,0
-1.523242695,Pamela Smith,4.65E-05,0
-1.521318194,Ben Nelson,0.002576018,0
-1.519393693,Edhitha Mallick,0.00013456,0
-1.517469192,Misty Williams,9.44E-05,0
-1.515544691,Andrew Garza,0.000209929,0
-1.513620189,Tracy Jones,3.87E-05,0
-1.511695688,Ms Josephine Ward,0.000159182,0
-1.509771187,David Miller,0.002960646,0
-1.507846686,Miss Teresa Miller MD,5.61E-05,0
-1.505922185,Kristina Brown,0.00387828,0
-1.503997683,Aline Schwital,0.246166731,0
-1.502073182,Isolde Junitz B.A.,0.009322608,0
-1.500148681,Alexander Hansen DVM,0.000136331,0
-1.49822418,Craig Taylor,0.99940261,1
-1.496299679,Kristine Bishop,0.000162704,0
-1.494375177,Nicole James,0.008821331,0
-1.492450676,Brittney Hernandez,0.022776093,0
-1.490526175,Gunar Kroker,0.000111774,0
-1.488601674,Ekavir Deo,0.999404258,1
-1.486677173,Tracy Reyes,0.000133962,0
-1.484752671,Darpan Ben,0.014158188,0
-1.48282817,Gaurangi Choudhry,0.000453571,0
-1.480903669,Eric Brown,0.006664286,0
-1.478979168,Scott Lynch,0.994391971,1
-1.477054667,Ria Sarin,0.000131916,0
-1.475130165,Richard Wagner,0.000925051,0
-1.473205664,Shaun Simmons,0.999364021,1
-1.471281163,Janice Jacobson,0.00060953,0
-1.469356662,Anne Johann-Aumann,0.057172657,0
-1.467432161,Debra Williams,0.019624726,0
