Employee ID,Full Name,Date of Birth,Gender,Education Level,Hire Date,Department,Job Title,Organization Level,Region,Country,Latitude,Longitude,Employment Status,Employment Type,Base Salary ($),Times Promoted,Years at Company,Current Employment Status,Annual Leave Entitlement (days),Ethnicity,Image URL
1001,Kyle Martin,10/7/1987,Female,Associate's,11/17/2021,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,75020.35,3,1,Active,22,BD-Tribal,https://randomuser.me/api/portraits/women/78.jpg
1002,Nicole Young,6/3/2002,Male,Associate's,8/13/2020,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Remote,Part-time,142825.6,4,3,Active,15,White,https://randomuser.me/api/portraits/women/56.jpg
1003,Ibrahim Ortmann-Boucsein,5/31/1964,Female,Bachelor's,11/11/2018,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,51685.81,1,2,Active,22,Germany-Other,https://randomuser.me/api/portraits/men/75.jpg
1004,Lawrence Rahman-Browne,6/20/1976,Female,Master's,6/12/2021,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,97875.7,2,7,Active,18,White British,https://randomuser.me/api/portraits/women/78.jpg
1005,Eric Torres,6/21/1987,Female,Doctorate,4/20/2019,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,127402.39,3,5,Active,15,Bengali,https://randomuser.me/api/portraits/women/4.jpg
1006,Gisela Striebitz,1/28/1966,Female,Doctorate,8/12/2022,IT,Data Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Part-time,44515.5,1,7,Resigned,24,German,https://randomuser.me/api/portraits/men/30.jpg
1007,Amanda Solomon,6/21/1986,Female,Associate's,9/17/2022,Marketing,Marketing Coordinator,Entry,North America,USA,37.7749,-122.4194,Remote,Full-time,79607.53,1,2,Active,18,White,https://randomuser.me/api/portraits/women/11.jpg
1008,Tammy Smith,2/1/1966,Male,Bachelor's,11/2/2019,R&D,Research Scientist,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,77101.56,3,2,Active,22,Bengali,https://randomuser.me/api/portraits/women/54.jpg
1009,Aziz Hofmann B.Sc.,9/5/1975,Male,Master's,3/11/2021,Finance,Financial Analyst,Operational,Europe,Germany,52.52,13.405,Onsite,Part-time,44397.62,0,3,Active,22,German,https://randomuser.me/api/portraits/women/17.jpg
1010,Mary Cook,2/24/1970,Male,Bachelor's,11/29/2020,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,76362.8,4,6,Active,18,White British,https://randomuser.me/api/portraits/women/82.jpg
1011,Mitchell Byrne-Bond,4/9/1997,Female,Master's,6/25/2020,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,62731.46,0,9,Active,22,UK-Other,https://randomuser.me/api/portraits/men/27.jpg
