Employee ID,Full Name,Date of Birth,Gender,Education Level,Hire Date,Department,Job Title,Organization Level,Region,Country,Latitude,Longitude,Employment Status,Employment Type,Base Salary ($),Times Promoted,Current Employment Status,Annual Leave Entitlement (days),Ethnicity,Tenure (Years),Age (Years),Age Band,Tenure Band,Salary Band,Performance Review Year,Performance Rating,Projects Handled,Project Target,Working Hours,Overtime,Team Size,Potential Rating,Satisfaction Score,Incentive Amount ($),Bonus ($),Incentive Amount ($) Band,Bonus ($) Band,Satisfaction Score Band,Team Size Band,Performance Rating Band,Projects Handled Band,Project Target Band,Working Hours Band,Overtime Band
1001,Kyle Martin,1987-10-07,Female,Associate's,2021-11-17,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,75020.35,3,Active,22,BD-Tribal,3,37,36-45,1-3 Years,75K-100K,2023,2.0,32,33,1935.0,182.33333333333334,15.0,High,2.3333333333333335,5230.110000000001,5916.57,5K-10K,5K-10K,Medium,11-15,Below Average,21-40,21-40,1901-2100,151-200
1002,Nicole Young,2002-06-03,Male,Associate's,2020-08-13,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Remote,Part-time,142825.6,4,Active,15,White,4,22,18-25,4-6 Years,125K-150K,2023,1.5,40,46,1876.75,243.0,8.75,High,3.25,3720.93,5695.42,500-5K,5K-10K,High,6-10,Below Average,21-40,41-60,1701-1900,Above 200
1003,Ibrahim Ortmann-Boucsein,1964-05-31,Female,Bachelor's,2018-11-11,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,51685.81,1,Active,22,Germany-Other,6,60,56-66,4-6 Years,50K-75K,2023,2.1666666666666665,63,73,1867.5,110.33333333333333,10.666666666666666,Low,3.6666666666666665,8385.4,13193.52,5K-10K,10K-20K,High,11-15,Average,61-80,61-80,1701-1900,101-150
1004,Lawrence Rahman-Browne,1976-06-20,Female,Master's,2021-06-12,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,97875.7,2,Active,18,White British,3,48,46-55,1-3 Years,75K-100K,2023,1.6666666666666667,32,35,1885.6666666666667,47.333333333333336,11.333333333333334,High,3.3333333333333335,3546.5499999999997,4792.82,500-5K,500-5K,High,11-15,Below Average,21-40,21-40,1701-1900,0-50
1005,Eric Torres,1987-06-21,Female,Doctorate,2019-04-20,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,127402.39,3,Active,15,Bengali,5,37,36-45,4-6 Years,125K-150K,2023,2.0,53,62,2019.2,109.0,13.2,High,3.4,7823.06,9518.18,5K-10K,5K-10K,High,11-15,Below Average,41-60,61-80,1901-2100,101-150
1006,Gisela Striebitz,1966-01-28,Female,Doctorate,2022-08-12,IT,Data Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Part-time,44515.5,1,Resigned,24,German,1,58,56-66,1-3 Years,30K-50K,2024,2.4285714285714284,76,90,2182.0,178.0,8.428571428571429,Low,2.857142857142857,16642.4,17302.64,15K-20K,10K-20K,Medium,6-10,Average,61-80,Above 80,Above 2100,151-200
1007,Amanda Solomon,1986-06-21,Female,Associate's,2022-09-17,Marketing,Marketing Coordinator,Entry,North America,USA,37.7749,-122.4194,Remote,Full-time,79607.53,1,Active,18,White,2,38,36-45,1-3 Years,75K-100K,2023,4.0,23,27,1880.5,34.5,7.5,High,4.5,4651.389999999999,8266.06,500-5K,5K-10K,Very High,6-10,Good,21-40,21-40,1701-1900,0-50
1008,Tammy Smith,1966-02-01,Male,Bachelor's,2019-11-02,R&D,Research Scientist,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,77101.56,3,Active,22,Bengali,5,58,56-66,4-6 Years,75K-100K,2023,2.0,55,62,1921.6,176.2,8.0,High,3.4,7772.99,10090.869999999999,5K-10K,10K-20K,High,6-10,Below Average,41-60,61-80,1901-2100,151-200
1009,Aziz Hofmann B.Sc.,1975-09-05,Male,Master's,2021-03-11,Finance,Financial Analyst,Operational,Europe,Germany,52.52,13.405,Onsite,Part-time,44397.62,0,Active,22,German,3,49,46-55,1-3 Years,30K-50K,2023,2.0,32,38,2038.3333333333333,148.0,6.666666666666667,High,3.6666666666666665,5224.04,5759.1,5K-10K,5K-10K,High,6-10,Below Average,21-40,21-40,1901-2100,101-150
1010,Mary Cook,1970-02-24,Male,Bachelor's,2020-11-29,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,76362.8,4,Active,18,White British,4,54,46-55,4-6 Years,75K-100K,2023,1.75,42,51,2024.5,107.0,13.25,High,2.5,4231.55,6829.27,500-5K,5K-10K,Medium,11-15,Below Average,41-60,41-60,1901-2100,101-150
1011,Mitchell Byrne-Bond,1997-04-09,Female,Master's,2020-06-25,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,62731.46,0,Active,22,UK-Other,4,27,26-35,4-6 Years,50K-75K,2023,2.5,43,46,2015.5,200.75,13.25,High,2.75,7122.23,10002.92,5K-10K,10K-20K,Medium,11-15,Average,41-60,41-60,1901-2100,Above 200
1012,George Townsend,1966-04-25,Male,Associate's,2022-06-02,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Remote,Full-time,117455.99,0,Active,18,White British,2,58,56-66,1-3 Years,100K-125K,2023,2.5,21,25,1951.5,114.5,11.5,High,4.0,3581.78,5191.1,500-5K,5K-10K,High,11-15,Average,21-40,21-40,1901-2100,101-150
1013,Victoria English,1968-08-17,Male,Bachelor's,2018-11-07,Sales,Sales Representative,Entry,Asia,Bangladesh,23.685,90.3563,Onsite,Part-time,40667.73,2,Active,22,BD-Tribal,6,56,56-66,4-6 Years,30K-50K,2023,3.1666666666666665,61,69,1815.5,173.16666666666666,8.833333333333334,Moderate,4.166666666666667,12517.14,18387.56,10K-15K,10K-20K,Very High,6-10,Good,61-80,61-80,1701-1900,151-200
1014,Francis Smith-Roberts,2005-01-30,Male,High School,2018-03-05,R&D,Research Scientist,Mid-Level,Europe,UK,51.5074,-0.1278,Onsite,Full-time,57289.34,1,Resigned,22,White British,3,19,18-25,1-3 Years,50K-75K,2022,1.8,53,66,1832.8,155.6,10.0,High,2.2,6004.860000000001,8205.85,5K-10K,5K-10K,Medium,6-10,Below Average,41-60,61-80,1701-1900,151-200
1015,Bachittar Dhaliwal,1987-04-19,Female,Doctorate,2019-09-08,R&D,R&D Engineer,Mid-Level,Asia,India,28.7041,77.1025,Remote,Full-time,52464.31,0,Resigned,22,Dravidian,3,37,36-45,1-3 Years,50K-75K,2022,2.0,43,52,1812.0,107.25,11.0,High,2.25,5448.95,7569.67,5K-10K,5K-10K,Medium,11-15,Below Average,41-60,41-60,1701-1900,101-150
