Employee ID,Full Name,Date of Birth,Gender,Education Level,Hire Date,Department,Job Title,Organization Level,Region,Country,Latitude,Longitude,Employment Status,Employment Type,Base Salary ($),Times Promoted,Annual Leave Entitlement (days),Ethnicity,Tenure (Years),Age (Years),Age Band,Tenure Band,Salary Band,Performance Review Year,Performance Rating,Projects Handled,Project Target,Working Hours,Overtime,Team Size,Potential Rating,Satisfaction Score,Incentive Amount ($),Bonus ($),Incentive Amount ($) Band,Bonus ($) Band,Satisfaction Score Band,Team Size Band,Performance Rating Band,Projects Handled Band,Project Target Band,Working Hours Band,Overtime Band
1001,Kyle Martin,10/7/1987,Female,Associate's,11/17/2021,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,75020.35,3,22,BD-Tribal,3,37,36-45,1-3 Years,75K-100K,2023,2,32,33,1935,182.3333333,15,High,2.333333333,5230.11,5916.57,5K-10K,5K-10K,Medium,15-Nov,Below Average,21-40,21-40,1901-2100,151-200
1002,Nicole Young,6/3/2002,Male,Associate's,8/13/2020,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Remote,Part-time,142825.6,4,15,White,4,22,18-25,4-6 Years,125K-150K,2023,1.5,40,46,1876.75,243,8.75,High,3.25,3720.93,5695.42,500-5K,5K-10K,High,10-Jun,Below Average,21-40,41-60,1701-1900,Above 200
1003,Ibrahim Ortmann-Boucsein,5/31/1964,Female,Bachelor's,11/11/2018,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,51685.81,1,22,Germany-Other,6,60,56-66,4-6 Years,50K-75K,2023,2.166666667,63,73,1867.5,110.3333333,10.66666667,Low,3.666666667,8385.4,13193.52,5K-10K,10K-20K,High,15-Nov,Average,61-80,61-80,1701-1900,101-150
1004,Lawrence Rahman-Browne,6/20/1976,Female,Master's,6/12/2021,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,97875.7,2,18,White British,3,48,46-55,1-3 Years,75K-100K,2023,1.666666667,32,35,1885.666667,47.33333333,11.33333333,High,3.333333333,3546.55,4792.82,500-5K,500-5K,High,15-Nov,Below Average,21-40,21-40,1701-1900,0-50
1005,Eric Torres,6/21/1987,Female,Doctorate,4/20/2019,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,127402.39,3,15,Bengali,5,37,36-45,4-6 Years,125K-150K,2023,2,53,62,2019.2,109,13.2,High,3.4,7823.06,9518.18,5K-10K,5K-10K,High,15-Nov,Below Average,41-60,61-80,1901-2100,101-150
1006,Gisela Striebitz,1/28/1966,Female,Doctorate,8/12/2022,IT,Data Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Part-time,44515.5,1,24,German,1,58,56-66,1-3 Years,30K-50K,2024,2.428571429,76,90,2182,178,8.428571429,Low,2.857142857,16642.4,17302.64,15K-20K,10K-20K,Medium,10-Jun,Average,61-80,Above 80,Above 2100,151-200
1007,Amanda Solomon,6/21/1986,Female,Associate's,9/17/2022,Marketing,Marketing Coordinator,Entry,North America,USA,37.7749,-122.4194,Remote,Full-time,79607.53,1,18,White,2,38,36-45,1-3 Years,75K-100K,2023,4,23,27,1880.5,34.5,7.5,High,4.5,4651.39,8266.06,500-5K,5K-10K,Very High,10-Jun,Good,21-40,21-40,1701-1900,0-50
1008,Tammy Smith,2/1/1966,Male,Bachelor's,11/2/2019,R&D,Research Scientist,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,77101.56,3,22,Bengali,5,58,56-66,4-6 Years,75K-100K,2023,2,55,62,1921.6,176.2,8,High,3.4,7772.99,10090.87,5K-10K,10K-20K,High,10-Jun,Below Average,41-60,61-80,1901-2100,151-200
1009,Aziz Hofmann B.Sc.,9/5/1975,Male,Master's,3/11/2021,Finance,Financial Analyst,Operational,Europe,Germany,52.52,13.405,Onsite,Part-time,44397.62,0,22,German,3,49,46-55,1-3 Years,30K-50K,2023,2,32,38,2038.333333,148,6.666666667,High,3.666666667,5224.04,5759.1,5K-10K,5K-10K,High,10-Jun,Below Average,21-40,21-40,1901-2100,101-150
1010,Mary Cook,2/24/1970,Male,Bachelor's,11/29/2020,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,76362.8,4,18,White British,4,54,46-55,4-6 Years,75K-100K,2023,1.75,42,51,2024.5,107,13.25,High,2.5,4231.55,6829.27,500-5K,5K-10K,Medium,15-Nov,Below Average,41-60,41-60,1901-2100,101-150
1011,Mitchell Byrne-Bond,4/9/1997,Female,Master's,6/25/2020,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,62731.46,0,22,UK-Other,4,27,26-35,4-6 Years,50K-75K,2023,2.5,43,46,2015.5,200.75,13.25,High,2.75,7122.23,10002.92,5K-10K,10K-20K,Medium,15-Nov,Average,41-60,41-60,1901-2100,Above 200
1012,George Townsend,4/25/1966,Male,Associate's,6/2/2022,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Remote,Full-time,117455.99,0,18,White British,2,58,56-66,1-3 Years,100K-125K,2023,2.5,21,25,1951.5,114.5,11.5,High,4,3581.78,5191.1,500-5K,5K-10K,High,15-Nov,Average,21-40,21-40,1901-2100,101-150
1013,Victoria English,8/17/1968,Male,Bachelor's,11/7/2018,Sales,Sales Representative,Entry,Asia,Bangladesh,23.685,90.3563,Onsite,Part-time,40667.73,2,22,BD-Tribal,6,56,56-66,4-6 Years,30K-50K,2023,3.166666667,61,69,1815.5,173.1666667,8.833333333,Moderate,4.166666667,12517.14,18387.56,10K-15K,10K-20K,Very High,10-Jun,Good,61-80,61-80,1701-1900,151-200
1014,Francis Smith-Roberts,1/30/2005,Male,High School,3/5/2018,R&D,Research Scientist,Mid-Level,Europe,UK,51.5074,-0.1278,Onsite,Full-time,57289.34,1,22,White British,3,19,18-25,1-3 Years,50K-75K,2022,1.8,53,66,1832.8,155.6,10,High,2.2,6004.86,8205.85,5K-10K,5K-10K,Medium,10-Jun,Below Average,41-60,61-80,1701-1900,151-200
1015,Bachittar Dhaliwal,4/19/1987,Female,Doctorate,9/8/2019,R&D,R&D Engineer,Mid-Level,Asia,India,28.7041,77.1025,Remote,Full-time,52464.31,0,22,Dravidian,3,37,36-45,1-3 Years,50K-75K,2022,2,43,52,1812,107.25,11,High,2.25,5448.95,7569.67,5K-10K,5K-10K,Medium,15-Nov,Below Average,41-60,41-60,1701-1900,101-150
1016,Amanda Lewis,11/12/1992,Female,Master's,3/25/2020,Sales,Account Executive,Operational,Asia,Bangladesh,23.685,90.3563,Onsite,Full-time,55855.66,3,22,Bengali,2,32,26-35,1-3 Years,50K-75K,2021,3.5,21,26,2009,48.5,16,Low,2.5,3827.72,6750.28,500-5K,5K-10K,Medium,16-20,Good,21-40,21-40,1901-2100,0-50
