Employee ID,Full Name,Date of Birth,Gender,Education Level,Hire Date,Department,Job Title,Organization Level,Region,Country,Latitude,Longitude,Employment Status,Employment Type,Base Salary ($),Times Promoted,Years at Company,Current Employment Status,Annual Leave Entitlement (days),Ethnicity,Image Path
1001,Kyle Martin,1987-10-07,Female,Associate's,2021-11-17,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,75020.35,3,1,Active,22,BD-Tribal,
1002,Nicole Young,2002-06-03,Male,Associate's,2020-08-13,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Remote,Part-time,142825.6,4,3,Active,15,White,
1003,Ibrahim Ortmann-Boucsein,1964-05-31,Female,Bachelor's,2018-11-11,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,51685.81,1,2,Active,22,Germany-Other,
1004,Lawrence Rahman-Browne,1976-06-20,Female,Master's,2021-06-12,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,97875.7,2,7,Active,18,White British,
1005,Eric Torres,1987-06-21,Female,Doctorate,2019-04-20,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,127402.39,3,5,Active,15,Bengali,
1006,Gisela Striebitz,1966-01-28,Female,Doctorate,2022-08-12,IT,Data Scientist,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Part-time,44515.5,1,7,Resigned,24,German,
1007,Amanda Solomon,1986-06-21,Female,Associate's,2022-09-17,Marketing,Marketing Coordinator,Entry,North America,USA,37.7749,-122.4194,Remote,Full-time,79607.53,1,2,Active,18,White,
1008,Tammy Smith,1966-02-01,Male,Bachelor's,2019-11-02,R&D,Research Scientist,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,77101.56,3,2,Active,22,Bengali,
1009,Aziz Hofmann B.Sc.,1975-09-05,Male,Master's,2021-03-11,Finance,Financial Analyst,Operational,Europe,Germany,52.52,13.405,Onsite,Part-time,44397.62,0,3,Active,22,German,
1010,Mary Cook,1970-02-24,Male,Bachelor's,2020-11-29,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,76362.8,4,6,Active,18,White British,
1011,Mitchell Byrne-Bond,1997-04-09,Female,Master's,2020-06-25,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,62731.46,0,9,Active,22,UK-Other,
1012,George Townsend,1966-04-25,Male,Associate's,2022-06-02,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Remote,Full-time,117455.99,0,2,Active,18,White British,
1013,Victoria English,1968-08-17,Male,Bachelor's,2018-11-07,Sales,Sales Representative,Entry,Asia,Bangladesh,23.685,90.3563,Onsite,Part-time,40667.73,2,10,Active,22,BD-Tribal,
1014,Francis Smith-Roberts,2005-01-30,Male,High School,2018-03-05,R&D,Research Scientist,Mid-Level,Europe,UK,51.5074,-0.1278,Onsite,Full-time,57289.34,1,2,Resigned,22,White British,
1015,Bachittar Dhaliwal,1987-04-19,Female,Doctorate,2019-09-08,R&D,R&D Engineer,Mid-Level,Asia,India,28.7041,77.1025,Remote,Full-time,52464.31,0,1,Resigned,22,Dravidian,
1016,Amanda Lewis,1992-11-12,Female,Master's,2020-03-25,Sales,Account Executive,Operational,Asia,Bangladesh,23.685,90.3563,Onsite,Full-time,55855.66,3,5,Resigned,22,Bengali,
1017,Louise Carter,1976-02-24,Female,Doctorate,2019-06-23,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,114497.87,4,5,Active,18,White British,
